tick	outerResourceControl	captureUsedProducerLowerBound	oldGateLowerBound	logisticsCpuUsedV1	logisticsBytes	dataBytesAttested	dataBytesObserved	snapshotByteMismatch	bucket	available	complete	projectionTruncated	effectiveAuthorityLegacy	comparisons	matched	different	unresolved	reasonEqual	reasonExpectedPolicyDifference	reasonUnsafeCandidate	matcherIndexBuilds	matcherBudgetExhausted	nonLegacyAuthority	activeContracts	activeLeases	activeClaims	shadowObservableRecords	violations
73088720	2.884381499985466	1.296	4.180381499985466	2.267	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088730	2.4998700999713037	1.337	3.8368700999713035	2.232	3703	1645	1645	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088740	3.4269377999880817	1.68	5.106937799988081	2.884	3701	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088750	2.954753099998925	1.078	4.032753099998925	2.173	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088760	2.8449759000213817	1.609	4.453975900021382	2.642	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088770	2.4771032000135165	1.394	3.8711032000135166	2.416	3703	1645	1645	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088780	4.049350499990396	1.831	5.880350499990396	3.194	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088790	2.870894000021508	1.508	4.378894000021508	2.547	3701	1643	1643	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088800	2.794648999988567	1.268	4.062648999988567	2.232	3702	1644	1644	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088810	6.468034300021827	1.393	7.861034300021827	5.916	3703	1645	1645	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
